Disaster Type,Subregion,Start Year,Region
Flood,Latin America and the Caribbean,2019,Americas
Wildfire,Eastern Asia,2019,Asia
Flood,Latin America and the Caribbean,2019,Americas
Storm,Southern Asia,2019,Asia
Storm,Southern Asia,2019,Asia
Flood,Latin America and the Caribbean,2019,Americas
Storm,Northern America,2019,Americas
Flood,Eastern Asia,2019,Asia
Earthquake,South-eastern Asia,2019,Asia
Storm,Southern Asia,2019,Asia
Storm,Southern Asia,2019,Asia
Storm,Sub-Saharan Africa,2019,Africa
Storm,Sub-Saharan Africa,2019,Africa
Storm,Sub-Saharan Africa,2019,Africa
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Northern America,2019,Americas
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Storm,Northern America,2019,Americas
Flood,Latin America and the Caribbean,2019,Americas
Storm,Southern Europe,2019,Europe
Wildfire,Sub-Saharan Africa,2019,Africa
Flood,Southern Europe,2019,Europe
Flood,Southern Europe,2019,Europe
Flood,Southern Europe,2019,Europe
Flood,Latin America and the Caribbean,2019,Americas
Storm,Eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Southern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Latin America and the Caribbean,2019,Americas
Flood,Eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Western Asia,2019,Asia
Flood,Latin America and the Caribbean,2019,Americas
Flood,Southern Asia,2019,Asia
Flood,Central Asia,2019,Asia
Extreme temperature,Southern Asia,2019,Asia
Flood,Eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Eastern Europe,2019,Europe
Extreme temperature,Southern Asia,2019,Asia
Flood,Northern Africa,2019,Africa
Flood,Latin America and the Caribbean,2019,Americas
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Earthquake,Southern Europe,2019,Europe
Earthquake,Latin America and the Caribbean,2019,Americas
Earthquake,Latin America and the Caribbean,2019,Americas
Earthquake,Latin America and the Caribbean,2019,Americas
Flood,Latin America and the Caribbean,2019,Americas
Storm,Northern America,2019,Americas
Flood,Western Asia,2019,Asia
Flood,Western Asia,2019,Asia
Flood,Western Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Southern Asia,2019,Asia
Earthquake,Eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Earthquake,Melanesia,2019,Oceania
Flood,Latin America and the Caribbean,2019,Americas
Flood,Western Asia,2019,Asia
Flood,Southern Europe,2019,Europe
Flood,Northern Africa,2019,Africa
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Western Asia,2019,Asia
Flood,Southern Europe,2019,Europe
Flood,Southern Asia,2019,Asia
Flood,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Flood,Eastern Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Southern Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Northern Europe,2019,Europe
Extreme temperature,Southern Europe,2019,Europe
Flood,Latin America and the Caribbean,2019,Americas
Volcanic activity,Melanesia,2019,Oceania
Earthquake,Southern Asia,2019,Asia
Flood,Southern Europe,2019,Europe
Earthquake,Northern America,2019,Americas
Flood,Northern America,2019,Americas
Flood,Latin America and the Caribbean,2019,Americas
Storm,Southern Asia,2019,Asia
Storm,Southern Europe,2019,Europe
Storm,Eastern Europe,2019,Europe
Storm,Western Asia,2019,Asia
Storm,Southern Asia,2019,Asia
Earthquake,Eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Eastern Asia,2019,Asia
Earthquake,South-eastern Asia,2019,Asia
Storm,Northern America,2019,Americas
Flood,Southern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Storm,South-eastern Asia,2019,Asia
Earthquake,South-eastern Asia,2019,Asia
Flood,Western Asia,2019,Asia
Volcanic activity,Latin America and the Caribbean,2019,Americas
Volcanic activity,Latin America and the Caribbean,2019,Americas
Earthquake,South-eastern Asia,2019,Asia
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Western Europe,2019,Europe
Flood,Latin America and the Caribbean,2019,Americas
Flood,Southern Asia,2019,Asia
Earthquake,South-eastern Asia,2019,Asia
Wildfire,Eastern Europe,2019,Europe
Flood,South-eastern Asia,2019,Asia
Flood,Eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Southern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Storm,Western Europe,2019,Europe
Storm,Western Europe,2019,Europe
Flood,Sub-Saharan Africa,2019,Africa
Flood,Northern Africa,2019,Africa
Flood,South-eastern Asia,2019,Asia
Storm,Latin America and the Caribbean,2019,Americas
Storm,Eastern Europe,2019,Europe
Storm,Eastern Europe,2019,Europe
Flood,Eastern Asia,2019,Asia
Storm,Latin America and the Caribbean,2019,Americas
Storm,Northern America,2019,Americas
Flood,Southern Europe,2019,Europe
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Storm,Northern America,2019,Americas
Storm,Latin America and the Caribbean,2019,Americas
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Storm,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Flood,Northern Africa,2019,Africa
Flood,Northern Africa,2019,Africa
Wildfire,Latin America and the Caribbean,2019,Americas
Wildfire,Latin America and the Caribbean,2019,Americas
Wildfire,Latin America and the Caribbean,2019,Americas
Wildfire,Latin America and the Caribbean,2019,Americas
Flood,Eastern Europe,2019,Europe
Flood,Sub-Saharan Africa,2019,Africa
Storm,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Storm,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Earthquake,Southern Europe,2019,Europe
Flood,Latin America and the Caribbean,2019,Americas
Storm,Latin America and the Caribbean,2019,Americas
Earthquake,South-eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Earthquake,Southern Asia,2019,Asia
Flood,Western Asia,2019,Asia
Flood,Western Asia,2019,Asia
Extreme temperature,Eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Extreme temperature,Eastern Asia,2019,Asia
Flood,Eastern Europe,2019,Europe
Flood,Eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Earthquake,Latin America and the Caribbean,2019,Americas
Earthquake,Western Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Storm,Northern America,2019,Americas
Flood,Sub-Saharan Africa,2019,Africa
Flood,Eastern Europe,2019,Europe
Flood,Sub-Saharan Africa,2019,Africa
Earthquake,South-eastern Asia,2019,Asia
Storm,Latin America and the Caribbean,2019,Americas
Storm,Eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Southern Europe,2019,Europe
Flood,Southern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Western Europe,2019,Europe
Wildfire,Northern America,2019,Americas
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Eastern Asia,2019,Asia
Wildfire,Northern America,2019,Americas
Flood,Western Asia,2019,Asia
Storm,Latin America and the Caribbean,2019,Americas
Earthquake,Eastern Asia,2019,Asia
Storm,Eastern Asia,2019,Asia
Earthquake,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Earthquake,South-eastern Asia,2019,Asia
Storm,Northern America,2019,Americas
Storm,Southern Europe,2019,Europe
Storm,Western Europe,2019,Europe
Storm,Southern Europe,2019,Europe
Storm,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Storm,South-eastern Asia,2019,Asia
Flood,Latin America and the Caribbean,2019,Americas
Storm,Southern Europe,2019,Europe
Wildfire,Australia and New Zealand,2019,Oceania
Storm,Sub-Saharan Africa,2019,Africa
Storm,South-eastern Asia,2019,Asia
Storm,South-eastern Asia,2019,Asia
Storm,Southern Asia,2019,Asia
Storm,Southern Asia,2019,Asia
Earthquake,Western Europe,2019,Europe
Earthquake,Southern Asia,2019,Asia
Storm,Western Europe,2019,Europe
Storm,Southern Europe,2019,Europe
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Flood,Northern Europe,2019,Europe
Earthquake,Southern Europe,2019,Europe
Storm,South-eastern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,Western Europe,2019,Europe
Flood,Southern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Flood,Latin America and the Caribbean,2019,Americas
Storm,Northern America,2019,Americas
Flood,Latin America and the Caribbean,2019,Americas
Flood,Latin America and the Caribbean,2019,Americas
Volcanic activity,Australia and New Zealand,2019,Oceania
Flood,Sub-Saharan Africa,2019,Africa
Storm,Sub-Saharan Africa,2019,Africa
Storm,Sub-Saharan Africa,2019,Africa
Storm,Sub-Saharan Africa,2019,Africa
Flood,Latin America and the Caribbean,2019,Americas
Flood,Sub-Saharan Africa,2019,Africa
Flood,Latin America and the Caribbean,2019,Americas
Flood,Latin America and the Caribbean,2019,Americas
Flood,Eastern Asia,2019,Asia
Earthquake,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Storm,Western Europe,2019,Europe
Storm,Northern America,2019,Americas
Flood,Sub-Saharan Africa,2019,Africa
Storm,Southern Europe,2019,Europe
Storm,Western Europe,2019,Europe
Storm,Southern Europe,2019,Europe
Flood,Southern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Storm,South-eastern Asia,2019,Asia
Wildfire,Latin America and the Caribbean,2019,Americas
Storm,Melanesia,2019,Oceania
Flood,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Wildfire,South-eastern Asia,2019,Asia
Flood,Latin America and the Caribbean,2019,Americas
Extreme temperature,Western Europe,2019,Europe
Extreme temperature,Northern Europe,2019,Europe
Flood,Latin America and the Caribbean,2019,Americas
Flood,Sub-Saharan Africa,2019,Africa
Extreme temperature,Southern Asia,2019,Asia
Flood,Southern Asia,2019,Asia
Flood,South-eastern Asia,2019,Asia
Flood,Sub-Saharan Africa,2019,Africa
Storm,Sub-Saharan Africa,2019,Africa
Flood,Sub-Saharan Africa,2019,Africa
Drought,Southern Asia,2019,Asia
Drought,Eastern Asia,2019,Asia
Drought,Sub-Saharan Africa,2019,Africa
Drought,South-eastern Asia,2019,Asia
Drought,Sub-Saharan Africa,2019,Africa
Drought,South-eastern Asia,2019,Asia
Drought,South-eastern Asia,2019,Asia
Drought,South-eastern Asia,2019,Asia
Drought,Southern Asia,2019,Asia
Drought,Sub-Saharan Africa,2019,Africa
Drought,Sub-Saharan Africa,2019,Africa
Drought,Sub-Saharan Africa,2019,Africa
Drought,Sub-Saharan Africa,2019,Africa
Drought,Latin America and the Caribbean,2019,Americas
Drought,Sub-Saharan Africa,2019,Africa
Flood,Western Asia,2020,Asia
Storm,Western Asia,2020,Asia
Earthquake,Latin America and the Caribbean,2020,Americas
Volcanic activity,South-eastern Asia,2020,Asia
Storm,Southern Asia,2020,Asia
Storm,Southern Asia,2020,Asia
Storm,Northern America,2020,Americas
Flood,South-eastern Asia,2020,Asia
Storm,Melanesia,2020,Oceania
Storm,Polynesia,2020,Oceania
Flood,Sub-Saharan Africa,2020,Africa
Flood,Southern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Storm,Australia and New Zealand,2020,Oceania
Storm,Southern Europe,2020,Europe
Storm,Western Europe,2020,Europe
Flood,Latin America and the Caribbean,2020,Americas
Storm,Eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Latin America and the Caribbean,2020,Americas
Flood,South-eastern Asia,2020,Asia
Earthquake,Western Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Australia and New Zealand,2020,Oceania
Extreme temperature,Western Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Melanesia,2020,Oceania
Flood,Sub-Saharan Africa,2020,Africa
Storm,Western Europe,2020,Europe
Storm,Eastern Europe,2020,Europe
Storm,Western Europe,2020,Europe
Storm,Western Europe,2020,Europe
Storm,Northern Europe,2020,Europe
Storm,Northern Europe,2021,Europe
Storm,Northern Europe,2021,Europe
Storm,Southern Europe,2020,Europe
Storm,Eastern Europe,2020,Europe
Storm,Southern Europe,2020,Europe
Storm,Northern Europe,2020,Europe
Flood,South-eastern Asia,2020,Asia
Flood,Australia and New Zealand,2020,Oceania
Flood,Sub-Saharan Africa,2020,Africa
Flood,Latin America and the Caribbean,2020,Americas
Storm,Southern Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Flood,South-eastern Asia,2020,Asia
Storm,Latin America and the Caribbean,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,South-eastern Asia,2020,Asia
Flood,Northern Europe,2020,Europe
Flood,Latin America and the Caribbean,2020,Americas
Flood,Latin America and the Caribbean,2020,Americas
Earthquake,Southern Asia,2020,Asia
Earthquake,Western Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Flood,Southern Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Storm,Northern America,2020,Americas
Flood,Latin America and the Caribbean,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,South-eastern Asia,2020,Asia
Storm,South-eastern Asia,2020,Asia
Flood,Northern America,2020,Americas
Flood,Latin America and the Caribbean,2020,Americas
Flood,Latin America and the Caribbean,2020,Americas
Flood,Latin America and the Caribbean,2020,Americas
Flood,Southern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Northern Africa,2020,Africa
Storm,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Earthquake,Southern Europe,2020,Europe
Flood,Western Asia,2020,Asia
Storm,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Melanesia,2020,Oceania
Flood,South-eastern Asia,2020,Asia
Flood,Western Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Wildfire,Eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,Southern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,South-eastern Asia,2020,Asia
Storm,Melanesia,2020,Oceania
Storm,Melanesia,2020,Oceania
Storm,Polynesia,2020,Oceania
Storm,Melanesia,2020,Oceania
Flood,Southern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Melanesia,2020,Oceania
Flood,Southern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Storm,Northern America,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Southern Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,Central Asia,2020,Asia
Flood,Central Asia,2020,Asia
Earthquake,Latin America and the Caribbean,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,South-eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Storm,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Storm,Northern America,2020,Americas
Flood,Western Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Latin America and the Caribbean,2020,Americas
Flood,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Storm,Northern America,2020,Americas
Flood,Northern America,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,Southern Asia,2020,Asia
Storm,South-eastern Asia,2020,Asia
Flood,Western Europe,2020,Europe
Storm,South-eastern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Storm,Latin America and the Caribbean,2020,Americas
Storm,Southern Asia,2020,Asia
Storm,Southern Asia,2020,Asia
Storm,Southern Asia,2020,Asia
Flood,Northern America,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,Western Asia,2020,Asia
Storm,Southern Asia,2020,Asia
Storm,Latin America and the Caribbean,2020,Americas
Storm,Latin America and the Caribbean,2020,Americas
Storm,Latin America and the Caribbean,2020,Americas
Storm,Latin America and the Caribbean,2020,Americas
Storm,Northern America,2020,Americas
Flood,Western Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Earthquake,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Storm,Northern America,2020,Americas
Storm,Eastern Asia,2020,Asia
Earthquake,Eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Southern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Earthquake,Western Asia,2020,Asia
Flood,Western Asia,2020,Asia
Flood,Western Europe,2020,Europe
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Latin America and the Caribbean,2020,Americas
Flood,South-eastern Asia,2020,Asia
Storm,Northern America,2020,Americas
Storm,Latin America and the Caribbean,2020,Americas
Flood,South-eastern Asia,2020,Asia
Flood,Eastern Europe,2020,Europe
Flood,Eastern Asia,2020,Asia
Earthquake,Western Asia,2020,Asia
Storm,Latin America and the Caribbean,2020,Americas
Earthquake,Latin America and the Caribbean,2020,Americas
Flood,Eastern Asia,2020,Asia
Flood,Eastern Europe,2020,Europe
Flood,Eastern Asia,2020,Asia
Flood,Southern Europe,2020,Europe
Flood,Southern Europe,2020,Europe
Flood,Eastern Europe,2020,Europe
Flood,Western Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Eastern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Flood,Sub-Saharan Africa,2020,Africa
Flood,Southern Asia,2020,Asia
Flood,Northern Africa,2020,Africa
Storm,Western Asia,2020,Asia
Storm,South-eastern Asia,2020,Asia
Storm,South-eastern Asia,2020,Asia
Storm,South-eastern Asia,2020,Asia
Storm,Eastern Asia,2020,Asia
Storm,Eastern Asia,2020,Asia
Storm,Eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Storm,Latin America and the Caribbean,2020,Americas
Storm,Latin America and the Caribbean,2020,Americas
Storm,Latin America and the Caribbean,2020,Americas
Storm,Northern America,2020,Americas
Flood,Western Asia,2020,Asia
Storm,Latin America and the Caribbean,2020,Americas
Storm,Northern America,2020,Americas
Flood,Latin America and the Caribbean,2020,Americas
Wildfire,Eastern Europe,2020,Europe
Flood,Western Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Sub-Saharan Africa,2020,Africa
Flood,Eastern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Flood,Eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,South-eastern Asia,2020,Asia
Flood,Latin America and the Caribbean,2020,Americas
Flood,Southern Europe,2020,Europe
Flood,Eastern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Wildfire,Eastern Europe,2020,Europe
Flood,Latin America and the Caribbean,2020,Americas
Storm,Eastern Asia,2020,Asia
Flood,Southern Asia,2020,Asia
Flood,Sub-Saharan Africa,2020,Africa
Flood,Eastern Asia,2020,Asia
